Item;Condition;ID;MD5 hash of participant's IP address;Original_Value;Changed_Value;IsQuestionable;Discussion_ML;Discussion_TL;Discussion_BD
;A;9316;3028e7887ad94e66d4f5fe907c30cc88;as the goods approach;;TRUE;;;/
;B;186;b8b10c5c32c46a8f278dc868ef65fd9d;appear;;FALSE;;;/
;B;5106;38515a2d399231bb4340622c162d7b1a;approach;;FALSE;;;/
;B;5923;bac07a9a07d31bd971ed4288f10499d6;not move fast enough to keep up;delay;FALSE;;;slow down
;B;10838;4f1511992b86c3d28f958bcbf4d56511;The cashier on the counter%2C as the goods from the belt appear will ;;TRUE;;;/
;B;13301;773048bc5ea832a6a6fb93f6da578bc6;do the calculations;;FALSE;;;calculation
;B;14936;bc3b5c51f98f643be9a99134572a2170;start to prepare;;FALSE;;prepare;prepare
;C;1978;2b7058890eefa22341aa295a036985a9;be late;;FALSE;;;/
;C;3619;58538dcb3f84e420200c601a4903dbef;come out;;FALSE;;;/
;C;7704;61f3559549de508d322e493e3c8fe90c;s the goods on the belts approach;;TRUE;;;/
;C;10161;64e64662aa8b1a57c3e5254b48652bcc;adjust;;FALSE;;;/
;C;12630;8e6ad748c0685eaeffbadbae0050306d;delay;;FALSE;;;/
;C;14265;46c4212ded545ed717b0ff376752ae11;be talked to about their performance.;;FALSE;;;talk
;C;15904;9f8736428d68ef86c654e1f0f0b1058e;be late;;FALSE;;;/
;D;975;2817aa3ba5ce3496c4222adb7a6aa37c;start to scan the items. ;scan;FALSE;;scan them;scan
;D;6704;83d8403f227baca0464166c404dc0dc2;have to scan quickly;scan;FALSE;;scan them;scan
;D;11628;14399e53229004f2c85ec3810d5cf776;Cause the problems for the boss;;FALSE;;;/
31;A;595;b8b10c5c32c46a8f278dc868ef65fd9d;begin to run;run;FALSE;;run;run
;A;5509;38515a2d399231bb4340622c162d7b1a;track;run;FALSE;;;/
;A;6327;bac07a9a07d31bd971ed4288f10499d6;take off ;;FALSE;;;/
;A;11248;4f1511992b86c3d28f958bcbf4d56511;Once the starting gun blasts%2C the ?? ;;TRUE;;;/
;A;13704;773048bc5ea832a6a6fb93f6da578bc6;the space;;TRUE;;;/
;A;15342;bc3b5c51f98f643be9a99134572a2170;go to the starting point;start the race;FALSE;;go;go
;B;2372;2b7058890eefa22341aa295a036985a9;run;;FALSE;;;/
;B;4008;58538dcb3f84e420200c601a4903dbef;take off fast;start the race;FALSE;maybe?;take off;take off
;B;8092;61f3559549de508d322e493e3c8fe90c;The sprinter on the;;TRUE;;;/
;B;10552;64e64662aa8b1a57c3e5254b48652bcc;run as fast as he can;run;FALSE;;run;run
;B;13018;8e6ad748c0685eaeffbadbae0050306d;run;;FALSE;;;/
;B;14653;46c4212ded545ed717b0ff376752ae11;start the race;;FALSE;;start;start
;B;16295;9f8736428d68ef86c654e1f0f0b1058e;run;;FALSE;;run;/
;C;944;2817aa3ba5ce3496c4222adb7a6aa37c;start to take off. ;start the race;FALSE;;take off;take off
;C;6673;83d8403f227baca0464166c404dc0dc2;put on his shoes;;FALSE;;;put on
;C;11597;14399e53229004f2c85ec3810d5cf776;Come out to watch the game;;FALSE;;;watch
;D;2933;9a8edf1b84fcdd4e9692881d31a5a26e;start running;run;FALSE;;run;run
;D;4567;559a558cc071b904f807f21b428370da;wish they were at the race and racing themselves.;;FALSE;;;wish
;D;8651;6df37ff0405e34325f86235ab8e45b66;run;;FALSE;;run;/
;D;9469;3028e7887ad94e66d4f5fe907c30cc88;as the starting gun blasts;;TRUE;;;/
32;A;2363;2b7058890eefa22341aa295a036985a9;close it;;FALSE;;close it;close
;A;3999;58538dcb3f84e420200c601a4903dbef;greet everyone;greet;FALSE;;greet;greet
;A;8083;61f3559549de508d322e493e3c8fe90c;s the attendant are ready;;TRUE;;;/
;A;10543;64e64662aa8b1a57c3e5254b48652bcc;prepare the passengers;;FALSE;;prepare them;prepare
;A;13009;8e6ad748c0685eaeffbadbae0050306d;smile;;FALSE;;;/
;A;14644;46c4212ded545ed717b0ff376752ae11;announce status;;FALSE;;announce the status;announce
;A;16286;9f8736428d68ef86c654e1f0f0b1058e;greet them;greet;FALSE;;greet;greet
;B;1582;2817aa3ba5ce3496c4222adb7a6aa37c;check people in.;;FALSE;;check them in;check
;B;7311;83d8403f227baca0464166c404dc0dc2;greet the passengers;greet;FALSE;;greet;greet
;B;12237;14399e53229004f2c85ec3810d5cf776;Have to wait for the piolt;;FALSE;;wait;wait
;C;2964;9a8edf1b84fcdd4e9692881d31a5a26e;seat the passengers;;FALSE;;seat them;seat
;C;4598;559a558cc071b904f807f21b428370da;worry because if she is still on the train%2C then she is going to likely be too late to the flight she is meant to be working on.;worry;FALSE;;worry;worry
;C;8682;6df37ff0405e34325f86235ab8e45b66;greet them;greet;FALSE;;greet;greet
;C;9500;3028e7887ad94e66d4f5fe907c30cc88;the guest are ready;;TRUE;;;/
;D;758;b8b10c5c32c46a8f278dc868ef65fd9d;begin;;FALSE;;begin;/
;D;5669;38515a2d399231bb4340622c162d7b1a;will;;TRUE;;;/
;D;6488;bac07a9a07d31bd971ed4288f10499d6;greet them and direct them to be seated;greet;FALSE;;greet them;greet
;D;11411;4f1511992b86c3d28f958bcbf4d56511;the stewartis in the train%2C as the ?? ;;TRUE;;;/
;D;13864;773048bc5ea832a6a6fb93f6da578bc6;start;;FALSE;;begin;/
;D;15503;bc3b5c51f98f643be9a99134572a2170;board;;FALSE;;board;/
33;A;1622;2817aa3ba5ce3496c4222adb7a6aa37c;begin to play his guitar.;play;FALSE;;play;play
;A;7351;83d8403f227baca0464166c404dc0dc2;strum his strings;get ready;FALSE;;strum;strum
;A;12277;14399e53229004f2c85ec3810d5cf776;Wait;;FALSE;;wait;/
;B;3125;9a8edf1b84fcdd4e9692881d31a5a26e;listens to the guitar player;;FALSE;;listen;listen
;B;4758;559a558cc071b904f807f21b428370da;start to play.;play;FALSE;;play;play
;B;8843;6df37ff0405e34325f86235ab8e45b66;play;play;FALSE;;play;play
;B;9660;3028e7887ad94e66d4f5fe907c30cc88;the guitarist on the stage;;TRUE;;;/
;C;175;b8b10c5c32c46a8f278dc868ef65fd9d;rehearse;;FALSE;;;/
;C;5095;38515a2d399231bb4340622c162d7b1a;van;;FALSE;;;/
;C;5912;bac07a9a07d31bd971ed4288f10499d6;run to stage;;FALSE;;run;run
;C;10827;4f1511992b86c3d28f958bcbf4d56511;s the concert begins%2C the guitarist in the van will ;;TRUE;;;/
;C;13290;773048bc5ea832a6a6fb93f6da578bc6;play;;FALSE;;;/
;C;14925;bc3b5c51f98f643be9a99134572a2170;get ready;;FALSE;;get ready;/
;D;1967;2b7058890eefa22341aa295a036985a9;cheer;;FALSE;;;/
;D;3608;58538dcb3f84e420200c601a4903dbef;start playing;;FALSE;;play;play
;D;7693;61f3559549de508d322e493e3c8fe90c;The guitarist at the;;TRUE;;;/
;D;10150;64e64662aa8b1a57c3e5254b48652bcc;try to do his best ;;FALSE;;;try
;D;12619;8e6ad748c0685eaeffbadbae0050306d;enter;;FALSE;;;/
;D;14254;46c4212ded545ed717b0ff376752ae11;depart and perform;;FALSE;;depart;depart
;D;15892;9f8736428d68ef86c654e1f0f0b1058e;be late;;FALSE;;be late;/
34;A;3163;9a8edf1b84fcdd4e9692881d31a5a26e;the bartender will get ready for nightshift;;TRUE;;get ready;/
;A;4796;559a558cc071b904f807f21b428370da;tip them well.;tip;FALSE;;tip;tip
;A;8881;6df37ff0405e34325f86235ab8e45b66;tip;;FALSE;;tip;/
;A;9698;3028e7887ad94e66d4f5fe907c30cc88;as there were customers at the bar;;TRUE;;;/
;B;38;b8b10c5c32c46a8f278dc868ef65fd9d;pour;;FALSE;;pour;/
;B;4962;38515a2d399231bb4340622c162d7b1a;drinks;drink;FALSE;;drink;drink
;B;5778;bac07a9a07d31bd971ed4288f10499d6;get a tip;tip;FALSE;;tip;tip
;B;10693;4f1511992b86c3d28f958bcbf4d56511;The bartender because the drinks were nice had to;;TRUE;;;/
;B;13156;773048bc5ea832a6a6fb93f6da578bc6;buy more;;FALSE;;buy more;buy
;B;14791;bc3b5c51f98f643be9a99134572a2170;tip;;FALSE;;tip;tip
;C;2119;2b7058890eefa22341aa295a036985a9;tip him;tip;FALSE;;tip;tip
;C;3759;58538dcb3f84e420200c601a4903dbef;be very nice;be polite;FALSE;;;be nice
;C;7844;61f3559549de508d322e493e3c8fe90c;Because the bartender was polite and the;;TRUE;;;/
;C;10303;64e64662aa8b1a57c3e5254b48652bcc;consider whether or not to patronise;;FALSE;what?;consider;consider
;C;12770;8e6ad748c0685eaeffbadbae0050306d;drive;;FALSE;;;/
;C;14405;46c4212ded545ed717b0ff376752ae11;tip more;tip;FALSE;;tip;tip
;C;16046;9f8736428d68ef86c654e1f0f0b1058e;remember them;;FALSE;;remember them;remember
;D;935;2817aa3ba5ce3496c4222adb7a6aa37c;serve the drinks.;;FALSE;;serve;serve
;D;6664;83d8403f227baca0464166c404dc0dc2;give a nice tip;tip;FALSE;;tip;tip
;D;11588;14399e53229004f2c85ec3810d5cf776;Come to the bar because the character the bartender  showed;come to the bar;TRUE;;come;come
35;A;720;b8b10c5c32c46a8f278dc868ef65fd9d;faint;;FALSE;I am not sure what they mean by that;;/
;A;5631;38515a2d399231bb4340622c162d7b1a;her;;TRUE;;;/
;A;6450;bac07a9a07d31bd971ed4288f10499d6;stay alert%0Abe alert;stay alert;FALSE;;stay alert;alert
;A;11372;4f1511992b86c3d28f958bcbf4d56511;s the warning message appears on her phone the ?? in the office decides to;;TRUE;;;/
;A;13826;773048bc5ea832a6a6fb93f6da578bc6;submit the work;submit it;FALSE;;submit it;submit
;A;15464;bc3b5c51f98f643be9a99134572a2170;write it down;work;FALSE;maybe?;write it down;write
;B;2354;2b7058890eefa22341aa295a036985a9;complete it;;FALSE;;;complete
;B;3990;58538dcb3f84e420200c601a4903dbef;repair it;fix it;FALSE;;;repair
;B;8074;61f3559549de508d322e493e3c8fe90c;The programmer at the office;;TRUE;;;/
;B;10534;64e64662aa8b1a57c3e5254b48652bcc;get rid of the phone;;FALSE;;;get rid of
;B;13000;8e6ad748c0685eaeffbadbae0050306d;work;;FALSE;;;/
;B;14635;46c4212ded545ed717b0ff376752ae11;resolve the issue;fix it;FALSE;;;resolve
;B;16277;9f8736428d68ef86c654e1f0f0b1058e;fix it;;FALSE;;;fix
;C;1281;2817aa3ba5ce3496c4222adb7a6aa37c;rush back in to finish the project.;work;FALSE;I think the meaning is the same here so I thought that work would cover everything here;rush back;return
;C;7010;83d8403f227baca0464166c404dc0dc2;get ready to go into work;work;FALSE;;get ready;prepare
;C;11935;14399e53229004f2c85ec3810d5cf776;Must set a another time;postpone;FALSE;;set another time;set
;D;3218;9a8edf1b84fcdd4e9692881d31a5a26e;be prepared for the boss's deadline;work;FALSE;;be prepared;prepare
;D;4851;559a558cc071b904f807f21b428370da;panic later%2C likely unaware of the message while in the garden and away from their phone and computer.;panic;FALSE;;panic later;/
;D;8936;6df37ff0405e34325f86235ab8e45b66;start working;work;FALSE;;work;start
;D;9753;3028e7887ad94e66d4f5fe907c30cc88;as the warning message has appeared on her phone;;TRUE;;;/
36;A;1791;2b7058890eefa22341aa295a036985a9;clean;;FALSE;;;/
;A;3435;58538dcb3f84e420200c601a4903dbef;have a seat available;;FALSE;;;seat
;A;7520;61f3559549de508d322e493e3c8fe90c;Before the costumer come in%2C the barber in the barbing shop will;;TRUE;;;/
;A;9972;64e64662aa8b1a57c3e5254b48652bcc;rest;;FALSE;;;/
;A;12446;8e6ad748c0685eaeffbadbae0050306d;prepare;;FALSE;;;/
;A;14080;46c4212ded545ed717b0ff376752ae11;clean the area.;clean;FALSE;;clean;clean
;A;15719;9f8736428d68ef86c654e1f0f0b1058e;sweep up hair;clean;FALSE;;sweep;sweep
;B;1064;2817aa3ba5ce3496c4222adb7a6aa37c;prepare to cut hair.;prepare;FALSE;;prepare;prepare
;B;6793;83d8403f227baca0464166c404dc0dc2;clean his tools;clean;FALSE;;clean;clean
;B;11717;14399e53229004f2c85ec3810d5cf776;Had to take a snap;;FALSE;I don't understand this;;snap
;C;3154;9a8edf1b84fcdd4e9692881d31a5a26e;wait for the next customer;;FALSE;;wait;wait
;C;4787;559a558cc071b904f807f21b428370da;take a deep breath and prepare to continue work on a busier than usual day.;prepare;FALSE;;prepare;prepare
;C;8872;6df37ff0405e34325f86235ab8e45b66;clean his scissors;clean;FALSE;;clean;clean
;C;9689;3028e7887ad94e66d4f5fe907c30cc88;before next customer comes in;;TRUE;;;/
;D;99;b8b10c5c32c46a8f278dc868ef65fd9d;eat;;FALSE;;;/
;D;5022;38515a2d399231bb4340622c162d7b1a;barber;;FALSE;;;/
;D;5838;bac07a9a07d31bd971ed4288f10499d6;have a quick snack;eat;FALSE;;eat;eat
;D;10754;4f1511992b86c3d28f958bcbf4d56511;The barber in the kitchen%2C before the next customer had to will ;;TRUE;;;/
;D;13216;773048bc5ea832a6a6fb93f6da578bc6;come to shop;get back;FALSE;;come;come
;D;14852;bc3b5c51f98f643be9a99134572a2170;clean;;FALSE;;;clean
37;A;1409;2817aa3ba5ce3496c4222adb7a6aa37c;try to get the baby to fall asleep.;try and make the baby fall asleep;FALSE;;try and make the baby fall asleep;soothe
;A;7138;83d8403f227baca0464166c404dc0dc2;sing a lullaby;sing;FALSE;;sing;sing
;A;12064;14399e53229004f2c85ec3810d5cf776;Try and make the baby fall asleep;;FALSE;;try and make the baby fall asleep;soothe
;B;2757;9a8edf1b84fcdd4e9692881d31a5a26e;wait for the mother;;FALSE;;wait;wait
;B;4392;559a558cc071b904f807f21b428370da;rock the cradle gently.;rock it;FALSE;;rock the cradle;rock
;B;8476;6df37ff0405e34325f86235ab8e45b66;rock it;;FALSE;;rock the cradle;rock
;B;9294;3028e7887ad94e66d4f5fe907c30cc88;as the baby can not fall asleep;;TRUE;;;/
;C;81;b8b10c5c32c46a8f278dc868ef65fd9d;return;get back;FALSE;;;/
;C;5004;38515a2d399231bb4340622c162d7b1a;baby;;TRUE;;;/
;C;5820;bac07a9a07d31bd971ed4288f10499d6;take the baby inside;;FALSE;;;take
;C;10735;4f1511992b86c3d28f958bcbf4d56511;s the baby cannot fall asleep%2C the mother in the yard should;;TRUE;;;/
;C;13198;773048bc5ea832a6a6fb93f6da578bc6;help out;;FALSE;;help;help
;C;14834;bc3b5c51f98f643be9a99134572a2170;play with the child;play;FALSE;;play;play
;D;2422;2b7058890eefa22341aa295a036985a9;assist ;;FALSE;;help;/
;D;4057;58538dcb3f84e420200c601a4903dbef;come inside and rock the baby to sleep;get back;FALSE;;come inside;rock
;D;8141;61f3559549de508d322e493e3c8fe90c;The babysitter in the lab;;TRUE;what?;;/
;D;10601;64e64662aa8b1a57c3e5254b48652bcc;sing him a lullaby;sing;FALSE;;sing;sing
;D;13067;8e6ad748c0685eaeffbadbae0050306d;play;;FALSE;;;/
;D;14702;46c4212ded545ed717b0ff376752ae11;comfort the child;;FALSE;;comfort;comfort
;D;16344;9f8736428d68ef86c654e1f0f0b1058e;keep them awake;;FALSE;;;awaken
38;A;2686;9a8edf1b84fcdd4e9692881d31a5a26e;setup the gallery;;FALSE;;set it up;setup
;A;4321;559a558cc071b904f807f21b428370da;prepare to attend.;;FALSE;;prepare;prepare
;A;8405;6df37ff0405e34325f86235ab8e45b66;work;;FALSE;;;/
;A;9223;3028e7887ad94e66d4f5fe907c30cc88;as he accepted the invitation;;TRUE;;;/
;B;458;b8b10c5c32c46a8f278dc868ef65fd9d;arrive;;FALSE;;;/
;B;5374;38515a2d399231bb4340622c162d7b1a;invitation;;TRUE;;invite;invite
;B;6192;bac07a9a07d31bd971ed4288f10499d6;rsvp;respond;FALSE;;;/
;B;11109;4f1511992b86c3d28f958bcbf4d56511;The ?? in the fortier%2C as he accepted in invitation had to%2C ;;TRUE;;;/
;B;13569;773048bc5ea832a6a6fb93f6da578bc6;attended;attend;FALSE;;;attend
;B;15206;bc3b5c51f98f643be9a99134572a2170;greet people;greet;FALSE;;greet;greet
;C;1823;2b7058890eefa22341aa295a036985a9;rest;;FALSE;;;/
;C;3466;58538dcb3f84e420200c601a4903dbef;make sure his display is safe;;FALSE;;;make sure
;C;7551;61f3559549de508d322e493e3c8fe90c;as he accepted the invitation the sculptor in the restuarant;;TRUE;;;/
;C;10003;64e64662aa8b1a57c3e5254b48652bcc;get a good measure of him;;FALSE;;measure;measure
;C;12477;8e6ad748c0685eaeffbadbae0050306d;celebrate;;FALSE;;;/
;C;14111;46c4212ded545ed717b0ff376752ae11;decide what to make.;;FALSE;;;decide
;C;15750;9f8736428d68ef86c654e1f0f0b1058e;finish eating;;FALSE;;;finish
;D;1491;2817aa3ba5ce3496c4222adb7a6aa37c;make a sculpture. ;;FALSE;;sculpt;sculpt
;D;7220;83d8403f227baca0464166c404dc0dc2;gather his best works;;FALSE;;;gather
;D;12146;14399e53229004f2c85ec3810d5cf776;Make it known;announce;FALSE;;make it known;publicize
39;A;470;b8b10c5c32c46a8f278dc868ef65fd9d;aim;;FALSE;;;/
;A;5385;38515a2d399231bb4340622c162d7b1a;tree;;TRUE;;;/
;A;6203;bac07a9a07d31bd971ed4288f10499d6;steady their aim and shoot;aim and shoot;FALSE;I wonder if all of them need to turn into shoot;aim;shoot
;A;11120;4f1511992b86c3d28f958bcbf4d56511;s the deer approaches%2C the hunter behind the tree will;;TRUE;;;/
;A;13580;773048bc5ea832a6a6fb93f6da578bc6;climb;;FALSE;;;/
;A;15217;bc3b5c51f98f643be9a99134572a2170;get his shoot ready;aim;TRUE;;aim;shoot
;B;2247;2b7058890eefa22341aa295a036985a9;shoot;;FALSE;;;/
;B;3886;58538dcb3f84e420200c601a4903dbef;shoot it;shoot;FALSE;;shoot;shoot
;B;7970;61f3559549de508d322e493e3c8fe90c;The hunter behind the tree as the deer;;TRUE;I don't understand how this happens, it is very weird how they copy a part of the sentence. Maybe there is something wrong with the log?;;/
;B;10430;64e64662aa8b1a57c3e5254b48652bcc;give up;;FALSE;;;give up
;B;12896;8e6ad748c0685eaeffbadbae0050306d;fire;shoot;FALSE;;shoot;/
;B;14531;46c4212ded545ed717b0ff376752ae11;hunt the deer;;FALSE;;hunt;hunt
;B;16172;9f8736428d68ef86c654e1f0f0b1058e;get ready to shoot;aim;FALSE;;aim;shoot
;C;1142;2817aa3ba5ce3496c4222adb7a6aa37c;shoot the deer.;shoot;FALSE;;shoot;shoot
;C;6871;83d8403f227baca0464166c404dc0dc2;raise his rifle;;FALSE;;aim;raise
;C;11795;14399e53229004f2c85ec3810d5cf776;Set a trap forthe deer;set trap;FALSE;;set a trap;hunt
;D;2540;9a8edf1b84fcdd4e9692881d31a5a26e;be hunted down by the hunter.;be hunted down.;TRUE;;be hunted down;hunt
;D;4175;559a558cc071b904f807f21b428370da;take aim;aim;FALSE;;aim;aim
;D;8259;6df37ff0405e34325f86235ab8e45b66;hide;;FALSE;;;/
;D;9076;3028e7887ad94e66d4f5fe907c30cc88;as the deer approaches.;;TRUE;;;/
40;A;2029;2b7058890eefa22341aa295a036985a9;take a photo;;FALSE;;take a photo;photograph
;A;3670;58538dcb3f84e420200c601a4903dbef;take more photos;take photos;FALSE;;take a photo;photograph
;A;7755;61f3559549de508d322e493e3c8fe90c;s they have a selfie stick in their hand;;TRUE;;;/
;A;10213;64e64662aa8b1a57c3e5254b48652bcc;utilize it well;;FALSE;;utilize it;utilize
;A;12681;8e6ad748c0685eaeffbadbae0050306d;pose;;FALSE;;;/
;A;14316;46c4212ded545ed717b0ff376752ae11;take their picture;take photos;FALSE;;take a photo;photograph
;A;15956;9f8736428d68ef86c654e1f0f0b1058e;take their picture;take photos;FALSE;;take a photo;photograph
;B;839;2817aa3ba5ce3496c4222adb7a6aa37c;take a picture. ;take photos;FALSE;;take a photo;photograph
;B;6568;83d8403f227baca0464166c404dc0dc2;take pictures;take photos;FALSE;;take a photo;photograph
;B;11492;14399e53229004f2c85ec3810d5cf776;Earn profit;;FALSE;;earn profit;earn 
;C;3238;9a8edf1b84fcdd4e9692881d31a5a26e;enjoy tourist season;;TRUE;;enjoy the tourist season;enjoy
;C;4871;559a558cc071b904f807f21b428370da;be insufferable%2C because that is not an appropriate location to be using a selfie stick.;be annoying;FALSE;;;/
;C;8956;6df37ff0405e34325f86235ab8e45b66;take pictures;take photos;FALSE;;take a photo;photograph
;C;9773;3028e7887ad94e66d4f5fe907c30cc88;as they have a selfie stick in hand;;TRUE;;;/
;D;119;b8b10c5c32c46a8f278dc868ef65fd9d;take pictures;take photos;FALSE;;take a photo;photograph
;D;5042;38515a2d399231bb4340622c162d7b1a;selfie;take photos;TRUE;;take a selfie;/
;D;5858;bac07a9a07d31bd971ed4288f10499d6;bump into other patrons occasionally;;FALSE;;;bump
;D;10774;4f1511992b86c3d28f958bcbf4d56511;The tourists in the kitchen as they had a selfie stick had to ;;TRUE;;;/
;D;13237;773048bc5ea832a6a6fb93f6da578bc6;take picture;take photos;FALSE;;take a photo;photograph
;D;14872;bc3b5c51f98f643be9a99134572a2170;take pictures;take photos;FALSE;;take a photo;photograph
41;A;1471;2817aa3ba5ce3496c4222adb7a6aa37c;tell them to quiet down.;;FALSE;;;tell
;A;7200;83d8403f227baca0464166c404dc0dc2;talk loudly;yell;FALSE;;;yell
;A;12126;14399e53229004f2c85ec3810d5cf776;Wait ;;FALSE;;wait;wait
;B;2975;9a8edf1b84fcdd4e9692881d31a5a26e;report on the incident;;FALSE;;;report
;B;4609;559a558cc071b904f807f21b428370da;listen closely and carefully.;listen carefully;FALSE;;listen;listen
;B;8693;6df37ff0405e34325f86235ab8e45b66;speak loudly;yell;FALSE;;talk loudly;yell
;B;9511;3028e7887ad94e66d4f5fe907c30cc88;as the scene was very loud outside;;TRUE;;;/
;C;143;b8b10c5c32c46a8f278dc868ef65fd9d;yell;yell;FALSE;;talk loudly;/
;C;5064;38515a2d399231bb4340622c162d7b1a;reporters;;TRUE;;report;report
;C;5880;bac07a9a07d31bd971ed4288f10499d6;listen carefully;;FALSE;;listen ;listen
;C;10796;4f1511992b86c3d28f958bcbf4d56511;Because it was very loud outside%2C the reporters for the news had to%2C;;TRUE;;;/
;C;13259;773048bc5ea832a6a6fb93f6da578bc6;stop work;stop;FALSE;;stop;stop
;C;14894;bc3b5c51f98f643be9a99134572a2170;cover their ears;;FALSE;;;cover
;D;2225;2b7058890eefa22341aa295a036985a9;turn it down;;FALSE;;;turn down
;D;3864;58538dcb3f84e420200c601a4903dbef;go inside;;FALSE;;;enter
;D;7948;61f3559549de508d322e493e3c8fe90c;The reporters in the ;;TRUE;;;/
;D;10408;64e64662aa8b1a57c3e5254b48652bcc;leave the scene;;FALSE;;leave;leave
;D;12874;8e6ad748c0685eaeffbadbae0050306d;cut;stop;FALSE;;cut;cut
;D;14509;46c4212ded545ed717b0ff376752ae11;proceed with the interview;;FALSE;;proceed;proceed
;D;16150;9f8736428d68ef86c654e1f0f0b1058e;stay inside;;FALSE;;;stay
42;A;3107;9a8edf1b84fcdd4e9692881d31a5a26e;be prepared to walk the runway;get ready to walk;FALSE;;be ready;walk
;A;4740;559a558cc071b904f807f21b428370da;be ready to walk.;get ready to walk;FALSE;;be ready;walk
;A;8825;6df37ff0405e34325f86235ab8e45b66;walk on stage;walk;FALSE;;walk;walk
;A;9642;3028e7887ad94e66d4f5fe907c30cc88;as soon as they dressed the runway;;TRUE;;;/
;B;336;b8b10c5c32c46a8f278dc868ef65fd9d;practice;;FALSE;;;/
;B;5254;38515a2d399231bb4340622c162d7b1a;dressed;dress up;TRUE;;dress;dress
;B;6071;bac07a9a07d31bd971ed4288f10499d6;prance down the catwalk;walk;FALSE;;prance;walk
;B;10988;4f1511992b86c3d28f958bcbf4d56511;The models on the runway%2C as soon as they are dressed should ;;TRUE;;;/
;B;13449;773048bc5ea832a6a6fb93f6da578bc6;be on stage;get on stage;FALSE;;be on stage;be
;B;15085;bc3b5c51f98f643be9a99134572a2170;go to the stage;get on stage;FALSE;;go ;go
;C;2460;2b7058890eefa22341aa295a036985a9;get dressed;dress up;FALSE;;dress;dress
;C;4095;58538dcb3f84e420200c601a4903dbef;head to the show;get to the show;FALSE;;head;head
;C;8179;61f3559549de508d322e493e3c8fe90c;s soon as they are dressed;;TRUE;;;/
;C;10640;64e64662aa8b1a57c3e5254b48652bcc;go to the main event;get to the show;FALSE;;go ;go
;C;13105;8e6ad748c0685eaeffbadbae0050306d;travel;;FALSE;;;/
;C;14740;46c4212ded545ed717b0ff376752ae11;go to the show;get to the show;FALSE;;go ;go
;C;16382;9f8736428d68ef86c654e1f0f0b1058e;get on the bus;;FALSE;;;get on
;D;984;2817aa3ba5ce3496c4222adb7a6aa37c;get ready.;;FALSE;;get ready;prepare
;D;6713;83d8403f227baca0464166c404dc0dc2;prepare to go down the runway;get ready to walk;FALSE;;get ready;prepare
;D;11637;14399e53229004f2c85ec3810d5cf776;Head straight to the model hall;;FALSE;;;head
43;A;418;b8b10c5c32c46a8f278dc868ef65fd9d;climb;;FALSE;;;/
;A;5334;38515a2d399231bb4340622c162d7b1a;cliff;;TRUE;;;/
;A;6151;bac07a9a07d31bd971ed4288f10499d6;hack into the ice to keep moving upward;climb;FALSE;;hack into the ice;climb
;A;11069;4f1511992b86c3d28f958bcbf4d56511;s they had an ice axe%2C the mountaineer on the trail has to;;TRUE;;;/
;A;13529;773048bc5ea832a6a6fb93f6da578bc6;break;;FALSE;;;/
;A;15166;bc3b5c51f98f643be9a99134572a2170;climb up;climb;FALSE;;climb;climb
;B;1762;2b7058890eefa22341aa295a036985a9;intimidate ;;FALSE;;;/
;B;3406;58538dcb3f84e420200c601a4903dbef;be trying to save his life;;FALSE;;;save
;B;7491;61f3559549de508d322e493e3c8fe90c;The mountaineer face as ice axe;;TRUE;;;/
;B;9943;64e64662aa8b1a57c3e5254b48652bcc;be terrified;;FALSE;;;/
;B;12417;8e6ad748c0685eaeffbadbae0050306d;climb;;FALSE;;climb;/
;B;14051;46c4212ded545ed717b0ff376752ae11;use the axe.;;FALSE;;use the axe;use
;B;15689;9f8736428d68ef86c654e1f0f0b1058e;climb steadily;climb;FALSE;;climb;climb
;C;1522;2817aa3ba5ce3496c4222adb7a6aa37c;make sure his gear was good.;;FALSE;;;make sure
;C;7251;83d8403f227baca0464166c404dc0dc2;plan his adventure in his head;;FALSE;;plan;plan
;C;12177;14399e53229004f2c85ec3810d5cf776;Okay;;TRUE;;;/
;D;2986;9a8edf1b84fcdd4e9692881d31a5a26e;prepare for the mountain;prepare;FALSE;;prepare;prepare
;D;4620;559a558cc071b904f807f21b428370da;prepare to use their axe.;prepare;FALSE;;prepare;prepare
;D;8704;6df37ff0405e34325f86235ab8e45b66;embark;;FALSE;;;/
;D;9522;3028e7887ad94e66d4f5fe907c30cc88;at the convenience store;;TRUE;;;/
44;A;1740;2b7058890eefa22341aa295a036985a9;found;find;FALSE;;find;find
;A;3384;58538dcb3f84e420200c601a4903dbef;shine the light on the wreck;shine light to see;FALSE;;shine the light;shine
;A;7469;61f3559549de508d322e493e3c8fe90c;s they had the light in their hand the diver was;;TRUE;;;/
;A;9921;64e64662aa8b1a57c3e5254b48652bcc;get damaged;;FALSE;;;damage
;A;12395;8e6ad748c0685eaeffbadbae0050306d;see;explore;FALSE;maybe?;;/
;A;14029;46c4212ded545ed717b0ff376752ae11;search;explore;FALSE;;;/
;A;15667;9f8736428d68ef86c654e1f0f0b1058e;scan the area;explore;FALSE;;scan;scan
;B;1387;2817aa3ba5ce3496c4222adb7a6aa37c;look at the wreck.;explore;FALSE;maybe?;look;look
;B;7116;83d8403f227baca0464166c404dc0dc2;shine it at things so they could see;shine light to see;FALSE;;shine the light;shine
;B;12042;14399e53229004f2c85ec3810d5cf776;Make it easier;;FALSE;;;simplify
